"任务或算法","是否已有本地脚本","是否已有外部源码","是否有示例数据","是否有完整流程","是否需要补封装","推荐优先级","状态标记","库内路径"
"chemCPA/scDrug药物扰动和药敏","是","chemCPA源码","否","wrapper","是","高","已有wrapper","C:/Users/fsy/Desktop/原始代码/按分析用途分类/15_药物扰动_药物重定位"
"FAERS药物警戒信号","否","是","外部包示例","否","是","高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/03_FAERS药物警戒信号挖掘"
"TwoSampleMR/coloc","是","是","外部包示例","是","可补药物靶点模板","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/09_孟德尔随机化_GWAS处理/075_TwoSampleMR_coloc_药物靶点因果证据链.R"
"MVMR/蛋白中介MR","否","是","外部包示例","否","是","高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/04_蛋白中介MR和药物靶点MR"
"FUSION TWAS/单细胞eQTL权重","是","否","否","半流程","可补可视化","高","已有本地脚本","C:/Users/fsy/Desktop/原始代码/按分析用途分类/10_TWAS_单细胞eQTL权重"
"RcisTarget/SCENIC组件","是","是","外部包示例","半流程","是","高","已有但分散","C:/Users/fsy/Desktop/原始代码/按分析用途分类/13_转录因子调控_基因组圈图/047_RcisTarget_转录因子Motif网络.R; C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/06_SCENIC调控网络"
"MOFA2/mixOmics/DIABLO","否","是","外部包示例","否","是","中高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/08_多组学潜变量整合"
"NMF/Consensus分型","部分依赖","NMF源码","外部包示例","否","是","中高","源码已收集但未流程化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/09_无监督分型和共识聚类"
"TCGA生存预后模型","是","否","否","参考流程","按疾病改造","中","仅参考","C:/Users/fsy/Desktop/原始代码/按分析用途分类/12_TCGA_肿瘤预后生存_仅参考"
"AutoDock Vina/GROMACS/gmx_MMPBSA/MDAnalysis","可视化脚本","是","外部包示例","否","是","中","本地仅结果可视化","C:/Users/fsy/Desktop/原始代码/按分析用途分类/07_分子对接与结合能可视化; C:/Users/fsy/Desktop/原始代码/按分析用途分类/18_外部方法源码_待整合/10_分子动力学_对接自动化"
"突变/CNV/甲基化/蛋白组/代谢组常规分析","否","部分思路","否","否","是","中","关键缺口","暂无标准模块"
"高级结果图与闭环可视化","是","工具候选清单","否","索引型","可补模板","中高","已有工具索引","C:/Users/fsy/Desktop/原始代码/按分析用途分类/17_高级结果图与闭环可视化"
